main_objectid,objectname,sample_typename,created_date,updated_date,main_objectfilepath,linked_objectid,linked_objectfilepath,associated_typename
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13296,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13297,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13298,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13299,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13300,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13301,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13302,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13303,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13304,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13305,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13306,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13307,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13308,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13309,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13310,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13311,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13312,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13313,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13314,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13315,,Volume Composition
