;x;y;Ru;Pd;Ag;Pt;Au;Total
Spektrum 1 {200};-0.169;-0.468;4.5;31.7;2.7;3.7;7.4;50.0
Spektrum 1 {201};4.32;-0.468;4.7;33.1;1.9;3.6;6.7;50.0
Spektrum 1 {202};8.82;-0.468;4.7;34.0;1.8;3.5;6.1;50.0
Spektrum 1 {203};13.319;-0.468;4.6;35.5;1.4;3.1;5.4;50.0
Spektrum 1 {204};17.818;-0.468;4.7;36.6;1.1;2.8;4.8;50.0
Spektrum 1 {205};22.318;-0.468;4.5;37.2;1.4;2.7;4.1;50.0
Spektrum 1 {206};26.818;-0.468;4.8;37.9;1.1;2.6;3.6;50.0
Spektrum 1 {207};31.318;-0.468;4.6;38.8;1.0;2.2;3.3;50.0
Spektrum 1 {208};35.818;-0.468;4.7;39.4;1.1;1.9;2.9;50.0
Spektrum 1 {209};40.318;-0.468;4.4;40.5;0.5;1.8;2.7;50.0
Spektrum 1 {210};44.819;-0.468;4.7;40.5;0.9;1.5;2.4;50.0
Spektrum 1 {211};-45.167;4.022;3.5;18.8;7.1;6.2;14.4;50.0
Spektrum 1 {212};-40.67;4.022;3.7;20.1;6.2;6.2;13.8;50.0
Spektrum 1 {213};-36.17;4.022;4.1;21.0;5.5;5.8;13.5;50.0
Spektrum 1 {214};-31.67;4.022;4.0;22.6;4.8;6.2;12.5;50.0
Spektrum 1 {215};-27.171;4.022;4.4;23.0;5.2;5.9;11.6;50.0
Spektrum 1 {216};-22.67;4.022;4.4;25.0;4.2;5.3;11.1;50.0
Spektrum 1 {217};-18.17;4.022;4.7;26.3;3.7;5.4;10.0;50.0
Spektrum 1 {218};-13.671;4.022;4.4;28.0;3.2;4.9;9.5;50.0
Spektrum 1 {219};-9.17;4.022;4.5;28.7;3.5;4.7;8.6;50.0
Spektrum 1 {220};-4.671;4.022;5.1;29.9;2.9;4.6;7.5;50.0
Spektrum 1 {221};-0.169;4.022;4.7;31.3;2.6;4.5;6.8;50.0
Spektrum 1 {222};4.32;4.022;5.0;33.1;2.0;3.5;6.4;50.0
Spektrum 1 {223};8.819;4.022;5.0;34.0;1.9;3.6;5.6;50.0
Spektrum 1 {224};13.32;4.022;4.9;34.9;1.6;3.5;5.0;50.0
Spektrum 1 {225};17.819;4.022;5.0;36.2;1.2;3.2;4.3;50.0
Spektrum 1 {226};22.32;4.022;5.1;36.6;1.3;2.9;4.1;50.0
Spektrum 1 {227};26.82;4.022;4.9;37.7;1.1;2.7;3.5;50.0
Spektrum 1 {228};31.32;4.022;4.8;38.8;0.9;2.3;3.2;50.0
Spektrum 1 {229};35.818;4.022;4.9;39.5;0.9;2.1;2.5;50.0
Spektrum 1 {230};40.319;4.022;4.9;39.3;1.3;2.0;2.5;50.0
Spektrum 1 {231};44.819;4.022;4.9;40.7;0.7;1.6;2.1;50.0
